DATE,MBCURRCIR
1995-09-01,411100.0
1995-10-01,411500.0
1995-11-01,413800.0
1995-12-01,419700.0
1996-01-01,417800.0
1996-02-01,412900.0
1996-03-01,416000.0
1996-04-01,418200.0
1996-05-01,420000.0
1996-06-01,423700.0
1996-07-01,428100.0
1996-08-01,429700.0
1996-09-01,431700.0
1996-10-01,432700.0
1996-11-01,437100.0
1996-12-01,444300.0
1997-01-01,443300.0
1997-02-01,441000.0
1997-03-01,443500.0
1997-04-01,445900.0
1997-05-01,448700.0
1997-06-01,451900.0
1997-07-01,455800.0
1997-08-01,456700.0
1997-09-01,458600.0
1997-10-01,460700.0
1997-11-01,466900.0
1997-12-01,475400.0
1998-01-01,474100.0
1998-02-01,471700.0
1998-03-01,473800.0
1998-04-01,476200.0
1998-05-01,478900.0
1998-06-01,481500.0
1998-07-01,485900.0
1998-08-01,488300.0
1998-09-01,492500.0
1998-10-01,496400.0
1998-11-01,502700.0
1998-12-01,510500.0
1999-01-01,510500.0
1999-02-01,510600.0
1999-03-01,514900.0
1999-04-01,519200.0
1999-05-01,523600.0
1999-06-01,528400.0
1999-07-01,533900.0
1999-08-01,536500.0
1999-09-01,542100.0
1999-10-01,551000.0
1999-11-01,569500.0
1999-12-01,599900.0
2000-01-01,589000.0
2000-02-01,565700.0
2000-03-01,563700.0
2000-04-01,564700.0
2000-05-01,566000.0
2000-06-01,568600.0
2000-07-01,570800.0
2000-08-01,569800.0
2000-09-01,570200.0
2000-10-01,571500.0
2000-11-01,575900.0
2000-12-01,584300.0
2001-01-01,584500.0
2001-02-01,582400.0
2001-03-01,585300.0
2001-04-01,588000.0
2001-05-01,591400.0
2001-06-01,594900.0
2001-07-01,601100.0
2001-08-01,607400.0
2001-09-01,613100.0
2001-10-01,615200.0
2001-11-01,622200.0
2001-12-01,632300.0
2002-01-01,634600.0
2002-02-01,636000.0
2002-03-01,640200.0
2002-04-01,643700
2002-05-01,649500.0
2002-06-01,655800.0
2002-07-01,661000.0
2002-08-01,661100.0
2002-09-01,661400.0
2002-10-01,662700.0
2002-11-01,668200.0
2002-12-01,678300.0
2003-01-01,678200.0
2003-02-01,680200.0
2003-03-01,683900.0
2003-04-01,687200.0
2003-05-01,690700.0
2003-06-01,692500.0
2003-07-01,694200.0
2003-08-01,695500.0
2003-09-01,696900.0
2003-10-01,701700.0
2003-11-01,707200.0
2003-12-01,716400.0
2004-01-01,713700.0
2004-02-01,713500
2004-03-01,714000.0
2004-04-01,716900.0
2004-05-01,720800.0
2004-06-01,727200.0
2004-07-01,734000.0
2004-08-01,734700.0
2004-09-01,738900.0
2004-10-01,741200.0
2004-11-01,748100.0
2004-12-01,753500.0
2005-01-01,749500.0
2005-02-01,751200.0
2005-03-01,752200.0
2005-04-01,753700.0
2005-05-01,755500.0
2005-06-01,760700.0
2005-07-01,763100.0
2005-08-01,763300.0
2005-09-01,768000.0
2005-10-01,768900.0
2005-11-01,775200.0
2005-12-01,784700.0
2006-01-01,784900.0
2006-02-01,787000.0
2006-03-01,789100.0
2006-04-01,790900.0
2006-05-01,794300.0
2006-06-01,795200.0
2006-07-01,794800.0
2006-08-01,793900.0
2006-09-01,794300.0
2006-10-01,794500.0
2006-11-01,801400.0
2006-12-01,811100.0
2007-01-01,807300.0
2007-02-01,805400.0
2007-03-01,806400.0
2007-04-01,807600.0
2007-05-01,809800.0
2007-06-01,811800.0
2007-07-01,813900.0
2007-08-01,811700.0
2007-09-01,812000.0
2007-10-01,813900.0
2007-11-01,819100.0
2007-12-01,822300.0
2008-01-01,815200.0
2008-02-01,814600.0
2008-03-01,816400.0
2008-04-01,813900.0
2008-05-01,818000.0
2008-06-01,823500.0
2008-07-01,830400.0
2008-08-01,831000.0
2008-09-01,835100.0
2008-10-01,851800.0
2008-11-01,865400.0
2008-12-01,878300.0
2009-01-01,886600.0
2009-02-01,895100.0
2009-03-01,901400.0
2009-04-01,903600.0
2009-05-01,905800.0
2009-06-01,907500
2009-07-01,910000.0
2009-08-01,911100.0
2009-09-01,913200.0
2009-10-01,915100.0
2009-11-01,919400.0
2009-12-01,924400.0
2010-01-01,921300.0
2010-02-01,928600.0
2010-03-01,932900.0
2010-04-01,935000.0
2010-05-01,938500.0
2010-06-01,940900.0
2010-07-01,944800.0
2010-08-01,947000.0
2010-09-01,952100.0
2010-10-01,960800.0
2010-11-01,973000.0
2010-12-01,979700.0
2011-01-01,979300.0
2011-02-01,990000.0
2011-03-01,1001600.0
2011-04-01,1009900.0
2011-05-01,1018200.0
2011-06-01,1023600.0
2011-07-01,1029900.0
2011-08-01,1034000.0
2011-09-01,1038100.0
2011-10-01,1042700.0
2011-11-01,1056800.0
2011-12-01,1067000.0
2012-01-01,1069600.0
2012-02-01,1082600
2012-03-01,1095400.0
2012-04-01,1100000.0
2012-05-01,1104300.0
2012-06-01,1109200.0
2012-07-01,1113600.0
2012-08-01,1117800.0
2012-09-01,1126200.0
2012-10-01,1135000.0
2012-11-01,1149300.0
2012-12-01,1158500.0
2013-01-01,1159200.0
2013-02-01,1165200.0
2013-03-01,1174700.0
2013-04-01,1178800.0
2013-05-01,1186200.0
2013-06-01,1190900.0
2013-07-01,1196700.0
2013-08-01,1199900.0
2013-09-01,1205800.0
2013-10-01,1214600.0
2013-11-01,1221600.0
2013-12-01,1232200.0
2014-01-01,1230300.0
2014-02-01,1239500.0
2014-03-01,1262900.0
2014-04-01,1270300.0
2014-05-01,1276300.0
2014-06-01,1280300.0
2014-07-01,1285100.0
2014-08-01,1288200.0
2014-09-01,1289900.0
2014-10-01,1295800.0
2014-11-01,1310800.0
2014-12-01,1327800.0
2015-01-01,1333400.0
2015-02-01,1343600.0
2015-03-01,1355400.0
2015-04-01,1360400.0
2015-05-01,1365000.0
2015-06-01,1366500.0
2015-07-01,1370400.0
2015-08-01,1375800.0
2015-09-01,1384500.0
2015-10-01,1392300.0
2015-11-01,1404600.0
2015-12-01,1416000.0
2016-01-01,1416600.0
2016-02-01,1423700.0
2016-03-01,1438000.0
2016-04-01,1445200.0
2016-05-01,1452400.0
2016-06-01,1458400.0
2016-07-01,1462900.0
2016-08-01,1464400.0
2016-09-01,1470600.0
2016-10-01,1477000.0
2016-11-01,1489500.0
2016-12-01,1500600.0
2017-01-01,1502700.0
2017-02-01,1508400.0
2017-03-01,1530000.0
2017-04-01,1540300.0
2017-05-01,1548600.0
2017-06-01,1556200.0
2017-07-01,1562100.0
2017-08-01,1566000.0
2017-09-01,1578800.0
2017-10-01,1584200.0
2017-11-01,1593300.0
2017-12-01,1606700.0
2018-01-01,1610200.0
2018-02-01,1616300.0
2018-03-01,1633600.0
2018-04-01,1640900.0
2018-05-01,1652300.0
2018-06-01,1662300.0
2018-07-01,1668500.0
2018-08-01,1673300.0
2018-09-01,1686000.0
2018-10-01,1690800.0
2018-11-01,1701000.0
2018-12-01,1709400.0
2019-01-01,1707800.0
2019-02-01,1708200.0
2019-03-01,1720200.0
2019-04-01,1727200.0
2019-05-01,1733200.0
2019-06-01,1739000.0
2019-07-01,1746800.0
2019-08-01,1750500.0
2019-09-01,1762900.0
2019-10-01,1771300.0
2019-11-01,1786200.0
2019-12-01,1796400.0
2020-01-01,1797200.0
2020-02-01,1797500.0
2020-03-01,1838000.0
2020-04-01,1891300.0
2020-05-01,1931800.0
2020-06-01,1958300.0
2020-07-01,1981700.0
2020-08-01,2007600.0
2020-09-01,2027500.0
2020-10-01,2040500.0
2020-11-01,2058300.0
2020-12-01,2071600.0
2021-01-01,2094200.0
2021-02-01,2100900.0
2021-03-01,2117800.0
2021-04-01,2154800.0
2021-05-01,2169500.0
2021-06-01,2179000.0
2021-07-01,2186300.0
2021-08-01,2188600.0
2021-09-01,2195600.0
2021-10-01,2202800.0
2021-11-01,2214100.0
2021-12-01,2225100.0
2022-01-01,2232700.0
2022-02-01,2235400.0
2022-03-01,2259700.0
2022-04-01,2269700.0
2022-05-01,2273600.0
2022-06-01,2278000.0
2022-07-01,2278500.0
2022-08-01,2276300.0
2022-09-01,2279400.0
2022-10-01,2284500.0
2022-11-01,2293100.0
2022-12-01,2298700.0
2023-01-01,2299100.0
2023-02-01,2299800.0
2023-03-01,2313100.0
2023-04-01,2323700.0
2023-05-01,2334000.0
2023-06-01,2342900.0
2023-07-01,2339100.0
2023-08-01,2331100.0
2023-09-01,2327700.0
